2024-10-12T12:11:49-04:00
Running ./build/run_benchmark
Run on (8 X 3591.96 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 0.08, 0.07, 0.10
--------------------------------------------------------------------------------------------------
Benchmark                                        Time             CPU   Iterations UserCounters...
BM_libiop_additive_fft/19_stddev              4734 us         4732 us         1000 items_per_second=0.0244221/s
BM_libiop_additive_fft/19_cv                  1.08 %          1.08 %          1000 items_per_second=1.07%
BM_libiop_additive_fft/20_mean             1076494 us      1076449 us         1000 items_per_second=0.929066/s
BM_libiop_additive_fft/20_median           1075330 us      1075295 us         1000 items_per_second=0.929978/s
BM_libiop_additive_fft/20_stddev             10314 us        10314 us         1000 items_per_second=8.86502m/s
BM_libiop_additive_fft/20_cv                  0.96 %          0.96 %          1000 items_per_second=0.95%
BM_libiop_additive_fft/21_mean             2280551 us      2280449 us         1000 items_per_second=0.438565/s
BM_libiop_additive_fft/21_median           2271998 us      2271857 us         1000 items_per_second=0.440169/s
BM_libiop_additive_fft/21_stddev             25721 us        25724 us         1000 items_per_second=4.88859m/s
BM_libiop_additive_fft/21_cv                  1.13 %          1.13 %          1000 items_per_second=1.11%
BM_libiop_additive_fft/22_mean             4907779 us      4907539 us         1000 items_per_second=0.2038/s
BM_libiop_additive_fft/22_median           4884317 us      4884134 us         1000 items_per_second=0.204745/s
BM_libiop_additive_fft/22_stddev             61804 us        61795 us         1000 items_per_second=2.52533m/s
BM_libiop_additive_fft/22_cv                  1.26 %          1.26 %          1000 items_per_second=1.24%
BM_libiop_additive_fft/23_mean            10607805 us     10607242 us         1000 items_per_second=0.0942971/s
BM_libiop_additive_fft/23_median          10556729 us     10556162 us         1000 items_per_second=0.0947314/s
BM_libiop_additive_fft/23_stddev            162223 us       162171 us         1000 items_per_second=1.43603m/s
BM_libiop_additive_fft/23_cv                  1.53 %          1.53 %          1000 items_per_second=1.52%
BM_gao_additive_fft_lvl1/2_mean              0.368 us        0.368 us         1000 items_per_second=2.71514M/s
BM_gao_additive_fft_lvl1/2_median            0.368 us        0.368 us         1000 items_per_second=2.71626M/s
BM_gao_additive_fft_lvl1/2_stddev            0.002 us        0.002 us         1000 items_per_second=17.7541k/s
